181,もくようび,木曜日,星期四,4,Jeudi,un,19,Thursday,5
182,きんようび,金曜日,星期五,4,Vendredi,un,19,Friday,5
183,どようび,土曜日,星期六,4,Samedi,un,19,Saturday,5
184,にちようび,日曜日,星期天,4,Dimanche,un,19,Sunday,5
185,なんようび,何曜日,星期幾,4,Quel jour de la semaine,,19,,5
186,ばんごう,番号,號碼,4,numéro,un,18,number,5
187,なんばん,何番,幾號,4,,,,,5
188,～から,,從~,4,"De (temporel, spacial)",,,,5
189,～まで,,到~,4,"à, jusqu'à",,,,5
190,～と～,,和 （用於連接各詞）,4,"avec, et (conjonction de deux groupes nominaux)",,,,5
191,そちら,,貴， 你們,4,Vous (polis),,,,5
192,たいへんですね。,大変ですね。,夠嗆。/不得了。 （表示同情和慰問對方的心情）,4,,,,,5
193,えーと,,嗯， 我看看,4,,,,,5
194,ここ,,這裏， 這個地方,3,ici,,,here,5
195,そこ,,那裏， 那個地方,3,là,,,there,5
196,あそこ,,那裏， 那個地方,3,là-bas,,,there (far),5
197,どこ,,哪裏， 哪個地方,3,ou?,,,where,5
198,こちら,,"這邊 （""ここ”的禮貌形）",3,ici,,,here,5
199,そちら,,那邊 （“そこ”的禮貌形）,3,là,,,there,5
200,あちら,,那邊 （“あそこ”的禮貌形）,3,là-bas,,,there,5
201,どちら,,哪邊 （“どこ”的禮貌形）,3,ou?,,,where?,5
202,きょうしつ,教室,教室,3,salle de classe,une,,classroom,5
203,しょくどう,食堂,餐廳， 食堂,3,"salle à manger , cantine","un,une",,dining hall,5
204,じむしょ,事務所,辦公室,3,"office, bureau","un,un",,office,5
205,かいぎしつ,会議室,會議室,3,salle de réunion,une,,meeting room,5
206,うけつけ,受付,傳達室， 接待,3,salle de réception,une,,receipt,5
207,ロビー,,大廳， 休息室,3,"foyer (salle),hall (d'hotel, etc)","un,un",,,5
208,へや,部屋,房間,3,"pièce, chambre, salle","une,une,une",,room,5
209,トイレ　（おてあらい）,(お手洗い）,廁所 （洗手間）,3,toilettes,des,,toilet,5
210,かいだん,階段,樓梯,3,escalier,un,,Stairs,5
211,エレベーター,,電梯,3,ascenceur,un,,,5
212,エスカレーター,,電扶梯,3,escalator,un,,,5
213,「お」　くに,「お」　国,貴國,3,"pays, nation","un,une",,,5
214,かいしゃ,会社,公司,3,"compagnie,firme",un (du),,compagny,5
215,うち,,家， 房子,3,maison,une,,house,5
216,でんわ,電話,電話， 電話呼叫,3,téléphone,un,,telephone,5
217,くつ,靴,鞋子,3,chaussure,une,16,shoes,5
218,ネクタイ,,領帶,3,cravatte,une,16,,5
219,ワイン,,葡萄酒,3,vin,un,,wine,5
220,たばこ,,香煙,3,"tabac, cigarette","un (du), une",,,5
221,うりば,売り場,櫃檯， 賣場,3,guichet,un,0,place where things are sold,5
222,ちか,地下,地下,3,sous-sol,un,,"basement,underground",5
223,。。。かい　（。がい）,。。。階,。。。樓,3,~ étage,(masc),,,5
224,なんがい,何階,幾樓,3,quel étage?,,,which floor?,5
225,。。。えん,。。。円,。。。日元,3,~ yen(s),,18,,5
226,いくら,,多少錢,3,combien d'argent?,,18,,5
227,ひゃく,百,百,3,cent,,18,hundred,5
228,せん,千,千,3,mille,,18,thousand,5
229,まん,万,萬,3,dix mille,,18,ten thousand,5
230,たべます,食べます,吃,6,manger,,,to eat,5
231,のみます,飲みます,喝， 飲， 服用,6,boire,,,to drink,5
232,すいます,吸います,吸,6,fumer,,,to smoke,5
233,みます,見ます,看,6,"regarder,voir",,,"to watch, to see",5
234,ききます,聞きます,聽,6,"écouter, entendre",,,to listen,5
235,よみます,読みます,閱讀,6,lire,,,to read,5
236,かきます,書きます,書寫,6,écrire,,,to write,5
237,かいます,買います,買,6,acheter,,0,"to buy,to purchase",5
238,とります,撮ります,拍,6,photographier,,,,5
239,します,,做,6,faire,,,,5
240,あいます,会います,遇見， 碰見,6,rencontrer,,,to meet,5
241,ごはん,御飯,餐,6,repas,un,,meal,5
242,あさごはん,朝ご飯,早餐,6,petit-déjeuner,un,,breakfast,5
243,ひるごはん,昼ご飯,中餐,6,déjeuner,un,,,5
244,ばんごはん,晩ご飯,晚餐,6,diner (repas),un,,,5
245,たまご,卵,雞蛋,6,oeuf,un,,egg,5
246,にく,肉,肉,6,viande,une (de la),,meat,5
247,さかな,魚,魚,6,poisson,un (du),6,fish,5
248,やさい,野菜,蔬菜,6,légume,un,,vegetables,5
249,くだもの,果物,水果,6,fruits,un,,fruit,5
250,みず,水,水,6,eau,une (de l'),,water,5
251,おちゃ,お茶,茶,6,thé,un,,tea,5
252,こうちゃ,紅茶,紅茶,6,thé noir ( rouge),un,,black tea,5
253,ぎゅうにゅう,牛乳,牛奶,6,lait,un,,milk,5
254,えいが,映画,電影,6,film,un,,movie,5
255,CD,,CD,6,CD,un,,,5
256,てがみ,,信,6,lettre,une,,letter,5
257,しゃしん,写真,相片,6,"photo, photographie",une,,photograph,5
258,みせ,店,商店,6,magasin,un,5,shop,5
259,にわ,庭,院子,6,jardin,un,,garden,5
260,しゅくだい,宿題,作業,6,devoir (maison),un,,homework,5
261,おはなみ,お花見,賞花,6,excursion pour admirer la floraison des cerisiers,une,,,5
262,いっしょに,一緒に,一起,6,ensemble,,,together,5
263,ちょっと,,一下子， 稍,6,"un moment, un peu",,,,
264,いつも,,總是,6,toujours,,,always,5
265,ときどき,時々,時常， 有時,6,"de temps en temps, parfois",,,sometimes,5
266,それから,,然後,6,ensuite,,,after that,5
267,ええ,,是，嗯,6,"oui, bien",,,,5
268,いいですね,,好呀,6,"d'accord, bien",,,,5
269,えき,駅,火車站,6,gare,une,,station,5
270,パン,,麪包,6,pain,un,,bread,5
271,ジュース,,果汁,6,jus de fruit,un,,,5
272,ビール,,啤酒,6,bière,une,,beer,5
273,ビデオ,,錄影帶， 錄影機,6,"cassette (VHS), vidéo",une,,,5
274,テニス,,網球,6,tennis,un,,,5
275,サッカー,,足球,6,football,un,,,5
276,レストラン,,餐廳,6,restaurant,un,5,,5
277,きります,切ります,剪，切,7,couper,,,to cut,5
278,おくります,送ります,寄送,7,envoyer,,,to send,5
279,あげます,上げます,給， 送,7,"donner, offrir",,,"to give, to offer",5
280,もらいます,貰います,接受，得到,7,recevoir,,,to receive,5
281,かします,貸します,借出,7,préter,,1,,5
282,かります,借ります,借入,7,emprunter,,0,to borrow,5
283,おしえます,教えます,教,7,enseigner,,8,to teach,5
284,ならいます,習います,學習（老師在）,7,étudier (en présence du professeur),,,to study (with a teacher),5
285,かけます,,打（電話）,7,téléphoner,,,to call by phone,5
286,て,手,手,7,main,une,14,hand,5
287,はし,,筷子,7,baguettes ( pour manger),une>des,,,5
288,スプーン,,湯匙,7,cuillère,une,,spoon,5
289,ナイフ,,小刀,7,couteau,un,,,5
290,フォーク,,叉子,7,fourchette,une,,,5
291,パソコン,,個人電腦,7,ordinateur personnel,un,1,personnal computer,5
292,かみ,紙,紙,7,"papier, feuille","un,une",,paper,5
293,はな,花,花,7,fleur,une,13,flower,5
294,シャツ,,襯衫,7,chemise,une,16,,5
295,プレゼンと,,禮物,7,"cadeau, présent","un,un",,,5
296,にもつ,荷物,行李,7,"valise, carton","une,un",,luggage,5
297,おかね,お金,錢,7,argent,de l',0,money,5
298,きっぷ,切符,票（交通工具的）,7,"billet, ticket  (transports en commun hors avion)","un,un",,ticket,5
299,クリスマス,,聖誕節,7,Nöel,le,19,,5
300,ちち,父,家父,7,père,un,20,,5
301,はは,母,家母,7,mère,une,20,,5
302,おとうさん,お父さん,父親（他人的）,7,papa,un,20,(honorable) father,5
303,おかあさん,お母さん,母親（他人的）,7,maman,une,20,(honorable) mother,5
304,もう,,已經,7,déjà,,,,5
305,まだ,,尚未，還沒有,7,Pas encore,,,,5
306,これから,,從現在起,7,A partir de maintenant,,,,5
307,チケット,,票（飛機， 電影）,7,"billet, ticket","un,un",25,,5
308,ヨーロッパ,,歐洲,7,Europe,l' (fem),,,5
309,スペイン,,西班牙,7,Espagne,l' (une),,,5
310,ごめんください,,對不起/ 有人在加碼？/ 我能進來嗎？,7,Excusez-moi? Il z a quelqu'un?,,,,5
311,いらっしゃい,,歡迎。（歡迎訪客的寒暄）,7,Bienvenue,,25,,5
312,どうぞおあがりください,,請進。,7,Entrez je vous pris.,,,,5
313,しつれいします,失礼します,對不起 / 打擾了,7,excusez-moi (poli),,,,5
